target_id	length	eff_length	est_counts	tpm
ABV71548.1	1104	880.148	1	129.032
ABV71549.1	297	94.2661	0	0
ABV71550.1	1023	799.148	10	1421.11
ABV71551.1	372	154.692	8	5873.24
ABV71552.1	312	105.176	89	96100.7
ABV71553.1	855	631.148	1	179.938
ABV71554.1	903	679.148	10	1672.21
ABV71555.1	1971	1747.15	32	2080.05
ABV71556.1	567	343.247	4	1323.45
ABV71557.1	1827	1603.15	7	495.883
ABV71558.1	1026	802.148	6	849.476
ABV71559.1	1083	859.148	7	925.304
ABV71560.1	366	149.317	3	2281.73
ABV71561.1	2016	1792.15	23	1457.5
ABV71562.1	3150	2926.15	21	815.037
ABV71563.1	1173	949.148	33	3948.52
ABV71564.1	1224	1000.15	23	2611.67
ABV71565.1	1926	1702.15	18	1200.96
ABV71566.1	1431	1207.15	16	1505.27
ABV71567.1	1461	1237.15	12.9003	1184.22
ABV71568.1	996	772.148	6	882.481
ABV71569.1	492	269.037	3.09968	1308.46
ABV71570.1	666	442.148	50	12842.7
ABV71571.1	237	57.0732	16	31837.7
ABV71572.1	378	160.388	10	7080.81
ABV71573.1	1272	1048.15	15	1625.26
ABV71574.1	1302	1078.15	47	4950.78
ABV71575.1	2721	2497.15	33	1500.8
ABV71576.1	873	649.148	10	1749.49
ABV71577.1	2949	2725.15	11	458.413
ABV71578.1	6723	6499.15	53	926.134
ABV71579.1	228	52.6033	1	2158.94
ABV71580.1	1713	1489.15	22	1677.8
ABV71581.1	1203	979.148	11	1275.85
ABV71582.1	474	251.448	3	1354.97
ABV71583.1	2004	1780.15	13	829.357
ABV71584.1	1131	907.148	22	2754.22
ABV71585.1	3729	3505.15	75	2430.02
ABV71586.1	2724	2500.15	65	2952.58
ABV71587.1	2547	2323.15	25	1222.13
ABV71588.1	3708	3484.15	9	293.36
ABV71589.1	372	154.692	0	0
ABV71590.1	456	233.898	0	0
ABV71591.1	2226	2002.15	16	907.566
ABV71592.1	2841	2617.15	14	607.511
ABV71593.1	1143	919.148	8	988.46
ABV71594.1	1167	943.148	13	1565.37
ABV71595.1	408	187.735	14	8469.11
ABV71596.1	1395	1171.15	6	581.827
ABV71597.1	2232	2008.15	33	1866.26
ABV71598.1	978	754.148	3.81197	574.047
ABV71599.1	1893	1669.15	10.188	693.186
ABV71600.1	1296	1072.15	336	35590.9
ABV71601.1	888	664.148	9	1538.98
ABV71602.1	2127	1903.15	22.7242	1356.03
ABV71603.1	1122	898.148	16.2758	2058.02
ABV71604.1	1680	1456.15	11	857.91
ABV71605.1	1686	1462.15	9	699.046
ABV71606.1	1752	1528.15	68	5053.57
ABV71607.1	921	697.148	6	977.419
ABV71608.1	4113	3889.15	9	262.81
ABV71609.1	2826	2602.15	23	1003.81
ABV71610.1	1287	1063.15	15	1602.33
ABV71611.1	2025	1801.15	23	1450.22
ABV71612.1	201	41.1377	0	0
ABV71613.1	336	124.04	4	3662.29
ABV71614.1	606	382.148	3	891.547
ABV71615.1	1785	1561.15	34	2473.37
ABV71616.1	1038	814.148	27	3766.3
ABV71617.1	1596	1372.15	32	2648.52
ABV71618.1	384	165.5	9	6175.86
ABV71619.1	2124	1900.15	67	4004.44
ABV71620.1	1755	1531.15	27	2002.63
ABV71621.1	573	349.247	18	5853.21
ABV71622.1	1122	898.148	7	885.125
ABV71623.1	2625	2401.15	21	993.241
ABV71624.1	750	526.148	4	863.389
ABV71625.1	2094	1870.15	8	485.812
ABV71626.1	2871	2647.15	42	1801.88
ABV71627.1	2052	1828.15	46	2857.6
ABV71628.1	753	529.148	2	429.247
ABV71629.1	837	613.148	8	1481.76
ABV71630.1	942	718.148	15	2372.09
ABV71631.1	1278	1054.15	11	1185.07
ABV71632.1	1038	814.148	14	1952.9
ABV71633.1	606	382.148	1	297.182
ABV71634.1	543	319.336	1	355.637
ABV71635.1	1743	1519.15	16.8683	1261.03
ABV71636.1	1476	1252.15	34.1317	3095.68
ABV71637.1	459	236.772	2	959.3
ABV71638.1	396	176.567	0	0
ABV71639.1	516	292.662	6	2328.31
ABV71640.1	645	421.148	7	1887.63
ABV71641.1	390	171.135	1	663.614
ABV71642.1	813	589.148	86	16577.9
ABV71643.1	951	727.148	35	5466.38
ABV71644.1	228	52.6033	4	8635.78
ABV71645.1	480	257.178	1	441.591
ABV71646.1	345	131.697	0	0
ABV71647.1	393	173.9	22	14367.3
ABV71648.1	528	304.504	67	24988.3
ABV71649.1	918	694.148	0	0
ABV71650.1	213	45.5953	4	9963.11
ABV71651.1	576	352.247	3	967.227
ABV71652.1	408	187.735	2	1209.87
ABV71653.1	510	286.815	15	5939.41
ABV71654.1	291	89.4417	3	3809.22
ABV71655.1	723	499.148	16	3640.37
ABV71656.1	987	763.148	16	2381.03
ABV71657.1	207	43.1382	2	5265.29
ABV71658.1	771	547.148	12	2490.75
ABV71659.1	243	59.9906	3	5679.27
ABV71660.1	243	59.9906	5	9465.45
ABV71661.1	234	55.4655	3	6142.6
ABV71662.1	195	38.913	3	8755.49
ABV71663.1	375	157.606	1	720.578
ABV71664.1	1920	1696.15	43	2879.12
ABV71665.1	234	55.4655	0	0
