target_id	length	eff_length	est_counts	tpm
ABV71562.1	3150	2938.25	21	830.069
ABV71563.1	1173	961.249	21	2537.27
ABV71564.1	1224	1012.25	19	2179.97
ABV71565.1	1926	1714.25	45	3048.75
ABV71566.1	1431	1219.25	11	1047.81
ABV71567.1	1461	1249.25	5	464.841
ABV71568.1	996	784.249	3	444.274
ABV71569.1	492	280.911	1	413.442
ABV71570.1	666	454.417	32	8178.61
ABV71571.1	237	61.7503	13	24450.5
ABV71572.1	378	169.405	4	2742.32
ABV71573.1	1272	1060.25	14	1533.57
ABV71574.1	1302	1090.25	16	1704.43
ABV71575.1	2721	2509.25	5	231.425
ABV71576.1	873	661.249	3	526.914
ABV71577.1	2949	2737.25	4	169.719
ABV71578.1	6723	6511.25	42	749.15
ABV71579.1	228	56.7784	2	4091.01
ABV71580.1	1713	1501.25	10	773.626
ABV71581.1	1203	991.249	6	702.995
ABV71582.1	474	262.911	1	441.748
ABV71583.1	2004	1792.25	7	453.611
ABV71584.1	1131	919.249	25	3158.57
ABV71585.1	3729	3517.25	39	1287.79
ABV71586.1	2724	2512.25	11	508.527
ABV71587.1	2547	2335.25	0	0
ABV71588.1	3708	3496.25	2	66.4372
ABV71589.1	372	163.831	1	708.903
ABV71590.1	456	245.004	0	0
ABV71591.1	2226	2014.25	18	1037.87
ABV71592.1	2841	2629.25	5	220.863
ABV71593.1	1143	931.249	5	623.574
ABV71594.1	1167	955.249	27	3282.7
ABV71595.1	408	198.413	34	19901.8
ABV71596.1	1395	1183.25	27	2650.16
ABV71597.1	2232	2020.25	38	2184.55
ABV71598.1	978	766.249	7	1060.99
ABV71599.1	1893	1681.25	8	552.639
ABV71600.1	1296	1084.25	158	16924.3
ABV71601.1	888	676.249	2	343.485
ABV71602.1	2127	1915.25	43.8316	2657.94
ABV71603.1	1122	910.249	71.1684	9080.53
ABV71604.1	1680	1468.25	54	4271.47
ABV71605.1	1686	1474.25	19	1496.81
ABV71606.1	1752	1540.25	46	3468.57
ABV71607.1	921	709.249	4	655.006
ABV71608.1	4113	3901.25	6	178.62
ABV71609.1	2826	2614.25	12	533.111
ABV71610.1	1287	1075.25	6	648.076
ABV71611.1	2025	1813.25	18	1152.92
ABV71612.1	201	42.3604	0	0
ABV71613.1	336	131.507	0	0
ABV71614.1	606	394.417	1	294.461
ABV71615.1	1785	1573.25	11	812.043
ABV71616.1	1038	826.249	57	8012.12
ABV71617.1	1596	1384.25	13	1090.72
ABV71618.1	384	175.088	3	1989.98
ABV71619.1	2124	1912.25	31	1882.79
ABV71620.1	1755	1543.25	67	5042.23
ABV71621.1	573	361.555	44	14133.9
ABV71622.1	1122	910.249	38	4848.5
ABV71623.1	2625	2413.25	15	721.893
ABV71624.1	750	538.249	0	0
ABV71625.1	2094	1882.25	1	61.7031
ABV71626.1	2871	2659.25	7	305.719
ABV71627.1	2052	1840.25	62	3912.9
ABV71628.1	753	541.249	6	1287.47
ABV71629.1	837	625.249	17	3157.76
ABV71630.1	942	730.249	34	5407.44
ABV71631.1	1278	1066.25	20	2178.49
ABV71632.1	1038	826.249	36	5060.29
ABV71633.1	606	394.417	9	2650.15
ABV71634.1	543	331.685	6	2100.92
ABV71635.1	1743	1531.25	11	834.316
ABV71636.1	1476	1264.25	9	826.787
ABV71637.1	459	248.004	26	12175.8
ABV71638.1	396	186.692	0	0
ABV71639.1	516	304.803	9	3429.31
ABV71640.1	645	433.417	1	267.965
ABV71641.1	390	180.891	2	1284.09
ABV71642.1	813	601.249	80	15453.2
ABV71643.1	951	739.249	27	4241.86
ABV71644.1	228	56.7784	4	8182.03
ABV71645.1	480	268.911	13	5614.59
ABV71646.1	345	139.085	6	5010.2
ABV71647.1	393	183.692	29	18335.4
ABV71648.1	528	316.803	21	7698.64
ABV71649.1	918	706.249	4	657.788
ABV71650.1	213	48.6059	4	9557.72
ABV71651.1	576	364.555	14	4460.14
ABV71652.1	408	198.413	14	8194.87
ABV71653.1	510	298.803	7	2720.8
ABV71654.1	291	95.5792	0	0
ABV71655.1	723	511.249	5	1135.85
ABV71656.1	987	775.249	5	749.053
ABV71657.1	207	45.2558	1	2566.31
ABV71658.1	771	559.249	5	1038.36
ABV71659.1	243	65.014	4	7145.57
ABV71660.1	243	65.014	1	1786.39
ABV71661.1	234	59.973	1	1936.55
ABV71662.1	195	39.9811	0	0
ABV71663.1	375	166.528	0	0
ABV71664.1	1920	1708.25	24	1631.71
ABV71665.1	234	59.973	0	0
