target_id	length	eff_length	est_counts	tpm
ABV71652.1	408	204.757	4	2313.8
ABV71653.1	510	305.032	38	14755.1
ABV71654.1	291	98.4173	8.46857	10191.6
ABV71655.1	723	517.787	50.5314	11558.9
ABV71656.1	987	781.787	46	6969.07
ABV71657.1	207	43.0948	5	13742
ABV71658.1	771	565.787	39	8164.26
ABV71659.1	243	64.4283	11	20221.9
ABV71660.1	243	64.4283	6	11030.1
ABV71661.1	234	58.6021	1	2021.12
ABV71662.1	195	37.4436	5	15816
ABV71663.1	375	173.095	3	2052.78
ABV71664.1	1920	1714.79	69	4765.89
ABV71665.1	234	58.6021	0	0
